stage,perplexity,loss,gsm8k_em,gsm8k_em_verifier,num_params
base,2900.55434865172,7.972657152414322,0.0,0.0,252925952
sft,1745.7237036249282,7.464924478530884,0.0,0.0,252925952
dpo,1731.3209548586578,7.4566399538517,0.0,0.0,252925952
