stage,perplexity,loss,gsm8k_em,gsm8k_em_verifier,num_params
base,11779.378216540326,9.374105672836304,0.0,0.0,15498752
sft,11473.623620076829,9.34780608177185,0.0,0.0,15498752
dpo,11459.974362921104,9.346615753173829,0.0,0.0,15498752
